patch_id,timestamp,raw_s2,proc_s2,ndvi,ndwi,building,road,raw_s1,proc_s1,dem,slope
patch_00032_5925311e,2017-04-23T22:01:15+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-04-27T10:41:05+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-04-30T21:52:50+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-05T22:01:16+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-09T10:41:06+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-12T21:52:51+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-17T22:01:16+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-21T10:41:07+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-23T02:40:18.455000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-05-24T21:52:51+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-05-29T22:01:17+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-02T10:41:08+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-05T21:52:52+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-10T22:01:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-14T10:41:08+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-22T22:01:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-26T10:41:09+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-06-27T02:40:15.499000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-06-29T21:52:53+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-02T02:40:14.452000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-07-04T22:01:19+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-08T10:41:09+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-11T21:52:54+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-20T10:41:10+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-23T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-07-28T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-01T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-04T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-09T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-13T10:41:12+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-16T21:52:56+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-21T02:40:16.656000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-08-21T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-25T10:41:12+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-08-26T02:40:14.648000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-08-28T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-02T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-06T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-09T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-14T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-15T02:40:05.763000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-09-18T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-21T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-26T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-09-30T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-03T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-08T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-12T10:41:14+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-15T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-20T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-24T10:41:14+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-27T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-10-30T02:40:14.988000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2017-11-01T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-05T10:41:14+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-08T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-13T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-17T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-20T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-25T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-11-29T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-02T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-07T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-11T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-14T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-19T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-23T10:41:12+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-26T21:52:56+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-29T10:40:24+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2017-12-31T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-01T21:52:28+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-04T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-07T21:52:56+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-10T10:40:24+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-12T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-13T21:52:27+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-16T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-19T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-22T10:40:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-24T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-28T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-01-31T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-05T22:01:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-06T21:52:24+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-09T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-12T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-15T10:40:26+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-17T22:01:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-18T21:52:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-21T10:41:10+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-24T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-02-27T02:40:12.325000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-02-27T10:40:26+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-01T22:01:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-02T21:52:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-05T10:41:10+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-08T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-13T22:01:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-14T21:52:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-17T10:41:10+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-19T02:40:12.351000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-03-20T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-25T22:01:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-26T21:52:18+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-03-29T02:40:14.447000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-03-29T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-01T21:52:55+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-06T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-07T21:52:19+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-10T10:41:11+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-13T21:52:56+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-18T02:40:16.933000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-04-18T22:01:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-19T21:52:19+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-22T10:41:12+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-25T21:52:56+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-04-30T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-01T21:52:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-04T10:41:12+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-07T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-08T02:40:18.167000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-05-12T22:01:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-13T21:52:20+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-16T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-19T21:52:57+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-24T22:01:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-25T21:52:21+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-28T10:41:13+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-05-31T21:52:58+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-02T02:40:12.629000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-06-05T22:01:24+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-06T21:52:22+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-07T02:40:15.785000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-06-09T10:41:14+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-12T21:52:59+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-17T02:40:15.131000+00:00,1,1,1,1,0,0,0,0,1,1
patch_00032_5925311e,2018-06-17T22:01:25+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-18T21:52:23+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-21T10:41:15+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-24T21:52:59+00:00,0,0,1,1,0,0,1,1,1,1
patch_00032_5925311e,2018-06-27T10:40:31+00:00,0,0,1,1,0,0,1,1,1,1
